Trial	StimName	Bid	RT
1	Mekupelet.bmp	5.86666666667	30857
2	Dubonim.bmp	3.71111111111	2318
3	ClickXLwhite4.bmp	2.75555555556	7661
4	Popco.bmp	0.177777777778	3070
5	Keifli.bmp	3.71111111111	3487
6	BabyDoll.bmp	4.91111111111	5540
7	ClickBisquit2.bmp	6.46666666667	4303
8	KinderBuenoWhite2.bmp	4.88888888889	3270
9	ClickBalls5.bmp	3.97777777778	3487
10	Twix.bmp	2.68888888889	4056
11	Apropo.bmp	1.15555555556	2605
12	GumiWine2.bmp	3.84444444444	3438
13	Kitkat.bmp	4.93333333333	3205
14	BisliOnion.bmp	4.93333333333	2135
15	BambaNugat.bmp	3.46666666667	2970
16	SkittlesSour4.bmp	5.33333333333	4438
17	Loacker.bmp	0.2	10394
18	PesekZman.bmp	6.22222222222	2920
19	KinderBuenoBrown3.bmp	5.28888888889	4738
20	Bamba.bmp	4.86666666667	4189
21	DoritosGrill.bmp	3.8	2588
22	GumiSnakes3.bmp	5.42222222222	6355
23	Egozi.bmp	3.66666666667	3738
24	SkittlesFruits2.bmp	4.95555555556	5758
25	Tictac.bmp	1.86666666667	3038
26	Shugi.bmp	0.0444444444444	2334
27	KifkefMaklot2.bmp	0.133333333333	2904
28	Hit.bmp	0.711111111111	4205
29	ClickXLbrown4.bmp	2.82222222222	4390
30	Snickers.bmp	6.88888888889	4856
31	BambaSweet.bmp	1.71111111111	4920
32	DoritosSourSpicy.bmp	0.688888888889	2803
33	Mars.bmp	0.577777777778	2586
34	Bounty.bmp	0.133333333333	2436
35	CrunchBisquitBrown3.bmp	7.17777777778	4390
36	CrunchShokoVanil.bmp	0.222222222222	2119
37	Halva2.bmp	3.68888888889	2536
38	Smarties.bmp	1.66666666667	4771
39	ClickBlackWhite3.bmp	2.71111111111	2403
40	Twist.bmp	0.0888888888889	2853
41	CrunchBisquitWhite2.bmp	5.04444444444	3452
42	Mentos.bmp	1.64444444444	3254
43	KashitSour.bmp	4.2	2987
44	ChocolateParaCookies5.bmp	4.84444444444	4271
45	ChocolateParaMilk3.bmp	0.2	2469
46	HappyHippo.bmp	0.222222222222	4689
47	Tapuchips.bmp	0.577777777778	3038
48	BagaleShtuhim.bmp	0.155555555556	2937
49	HispusimShatiah.bmp	4.82222222222	2100
50	WerthersOriginal.bmp	0.133333333333	3655
51	DoritosNatural.bmp	3.71111111111	2470
52	ChocolateParaSucariotKoftzot2.bmp	2.91111111111	4070
53	KinderJoy.bmp	3.73333333333	2804
54	TapuchipsCrunch.bmp	0.133333333333	1838
55	Taami.bmp	0.133333333333	2300
56	BisliGrill.bmp	2.6	2084
57	ChocolateParaMarir2.bmp	0.133333333333	3071
58	BisliPizza3.bmp	0.155555555556	3104
59	Tortit.bmp	0.177777777778	2136
60	Cheetos.bmp	0.0888888888889	1784
